,date,mktrf,smb,hml,rmw,cma,rf,mom,liq,bab,ni,resvar,r_me,r_ia,r_roe,r_eg
0,196307,-0.39,-0.44,-0.89,0.68,-1.23,0.27,0.97,,0.81,2.1399999999999997,1.82,,,,
1,196308,5.07,-0.75,1.68,0.36,-0.34,0.25,1.01,,-1.22,1.5099999999999998,-1.0,,,,
2,196309,-1.57,-0.55,0.08,-0.71,0.29,0.27,0.19,,1.07,-1.95,1.86,,,,
3,196310,2.53,-1.37,-0.14,2.8,-2.02,0.29,3.12,,-1.88,-0.09000000000000008,2.75,,,,
4,196311,-0.85,-0.89,1.81,-0.51,2.31,0.27,-0.74,,-0.52,-1.26,2.28,,,,
5,196312,1.83,-2.07,-0.08,0.03,-0.04,0.29,1.75,,0.01,-0.9100000000000001,1.68,,,,
6,196401,2.24,0.11,1.47,0.17,1.51,0.3,0.86,,0.61,-2.4899999999999998,5.1,,,,
7,196402,1.54,0.3,2.74,-0.05,0.9,0.26,0.26,,-0.5,-1.3199999999999998,-0.2899999999999998,,,,
8,196403,1.41,1.36,3.36,-2.21,3.19,0.31,0.75,,-0.19,1.12,-1.1099999999999999,,,,
9,196404,0.1,-1.59,-0.58,-1.27,-1.04,0.29,-0.58,,2.53,0.38,1.2799999999999998,,,,
10,196405,1.42,-0.64,1.82,-0.16,0.14,0.26,2.57,,0.52,0.29000000000000004,0.10999999999999988,,,,
11,196406,1.27,0.31,0.63,-0.28,-0.15,0.3,0.46,,0.79,-0.59,3.46,,,,
12,196407,1.74,0.47,0.75,0.04,1.94,0.3,-0.32,,2.16,-0.48999999999999977,0.20000000000000018,,,,
13,196408,-1.44,0.42,0.08,0.15,0.33,0.28,-0.22,,0.94,-0.3999999999999999,-0.1100000000000001,,,,
14,196409,2.69,-0.33,1.7,-0.54,0.61,0.28,-0.41,,-1.84,-0.48,-2.5,,,,
15,196410,0.59,0.91,1.17,-0.38,0.43,0.29,0.08,,0.62,0.73,1.53,,,,
16,196411,0.0,-0.15,-1.96,0.62,-0.26,0.29,1.03,,1.99,-1.1800000000000002,3.18,,,,
17,196412,0.03,-0.7,-2.48,1.04,-1.48,0.31,-0.74,,-0.03,0.1499999999999999,2.9000000000000004,,,,
18,196501,3.54,2.44,0.12,0.89,0.1,0.28,-1.44,,0.06,0.8200000000000003,-7.890000000000001,,,,
19,196502,0.44,3.29,0.11,0.2,-0.65,0.3,0.32,,-0.09,2.02,-5.2,,,,
20,196503,-1.34,2.11,1.03,-0.36,0.72,0.36,0.15,,-0.47,2.0100000000000002,-1.7200000000000002,,,,
21,196504,3.11,1.11,0.66,0.41,-2.27,0.31,2.63,,-0.44,1.5999999999999999,0.3299999999999996,,,,
22,196505,-0.77,0.13,-1.61,-0.4,0.5,0.31,0.6,,-0.01,-0.51,2.01,,,,
23,196506,-5.51,-4.28,0.59,0.21,0.37,0.35,-3.13,,0.08,-2.37,8.86,,,,
24,196507,1.43,1.07,2.14,-1.37,0.03,0.31,4.12,,-0.96,0.8499999999999999,-1.81,,,,
