date,mktrf,smb,hml,rf,umd
196301,0.049300,0.031200,0.021700,0.00250,-0.021000
196302,-0.023800,0.004600,0.022000,0.00230,0.025200
196303,0.030800,-0.024800,0.019000,0.00230,0.015600
196304,0.045100,-0.013500,0.010000,0.00250,-0.000800
196305,0.017600,0.010700,0.026100,0.00240,0.003700
196306,-0.020000,-0.002900,0.007700,0.00230,0.011700
196307,-0.003900,-0.005300,-0.008900,0.00270,0.010000
196308,0.050700,-0.008900,0.016800,0.00250,0.010300
196309,-0.015700,-0.003500,0.000800,0.00270,0.001600
196310,0.025300,-0.005600,-0.001400,0.00290,0.031400
196311,-0.008500,-0.011700,0.018100,0.00270,-0.007500
196312,0.018300,-0.021100,-0.000800,0.00290,0.017000
196401,0.022400,-0.001400,0.014700,0.00300,0.010600
196402,0.015400,0.001300,0.027400,0.00260,0.002400
196403,0.014100,0.009900,0.033600,0.00310,0.007100
196404,0.001000,-0.014400,-0.005800,0.00290,-0.006000
196405,0.014200,-0.008600,0.018200,0.00260,0.025400
196406,0.012700,-0.001000,0.006300,0.00300,0.004500
196407,0.017400,0.002200,0.007500,0.00300,-0.003800
196408,-0.014400,0.001700,0.000800,0.00280,-0.001900
196409,0.026900,-0.005300,0.017000,0.00280,-0.003900
196410,0.005900,0.004400,0.011700,0.00290,0.000800
196411,0.000000,0.006900,-0.019600,0.00290,0.010800
196412,0.000300,-0.003600,-0.024800,0.00310,-0.006900
196501,0.035400,0.027000,0.001200,0.00280,-0.012800
196502,0.004400,0.035300,0.001100,0.00300,0.003000
196503,-0.013400,0.018800,0.010300,0.00360,0.001000
196504,0.031100,0.011500,0.006600,0.00310,0.025400
196505,-0.007700,0.001300,-0.016100,0.00310,0.005400
196506,-0.055100,-0.043500,0.005900,0.00350,-0.031200
196507,0.014300,0.008700,0.021400,0.00310,0.041000
196508,0.027300,0.028300,-0.010200,0.00330,0.025800
196509,0.028600,0.006400,-0.001200,0.00310,0.033700
196510,0.026000,0.025300,0.015700,0.00310,0.034500
196511,-0.000300,0.046500,0.001000,0.00350,0.044200
196512,0.010100,0.020600,0.020200,0.00330,0.000900
196601,0.007200,0.038400,0.035300,0.00380,0.054100
196602,-0.012100,0.043800,0.002900,0.00350,0.045800
196603,-0.025100,0.009800,-0.020000,0.00380,0.013400
196604,0.021400,0.034100,-0.004700,0.00340,0.061800
196605,-0.056600,-0.046000,-0.016100,0.00410,-0.046900
196606,-0.014400,0.010400,0.004900,0.00380,0.032800
196607,-0.016300,-0.004300,0.009900,0.00350,-0.013900
196608,-0.079100,-0.032900,0.004400,0.00410,-0.021100
196609,-0.010600,-0.010400,0.005100,0.00400,-0.017300
196610,0.038600,-0.065200,0.026800,0.00450,-0.051300
196611,0.014000,0.043500,-0.047700,0.00400,0.057300
196612,0.001300,0.020900,-0.013200,0.00400,0.010700
196701,0.081500,0.083000,0.022500,0.00430,-0.067500
196702,0.007800,0.033300,-0.021800,0.00360,0.035600
196703,0.039900,0.014200,0.005400,0.00390,0.014200
196704,0.038900,0.006200,-0.024500,0.00320,0.006400
196705,-0.043300,0.018000,0.011800,0.00330,0.006700
196706,0.024100,0.059100,0.008500,0.00270,0.060300
196707,0.045800,0.031000,0.027200,0.00310,-0.010700
196708,-0.008900,0.003900,0.015200,0.00310,-0.014100
196709,0.031100,0.030200,-0.024200,0.00320,0.025500
196710,-0.030900,0.013800,-0.032200,0.00390,0.036700
196711,0.003700,0.001600,-0.016900,0.00360,0.012900
196712,0.030500,0.057800,-0.006300,0.00330,0.032300
196801,-0.040600,0.038900,0.048400,0.00400,-0.046400
196802,-0.037500,-0.029600,0.013300,0.00390,-0.034100
196803,0.002000,-0.013500,-0.005900,0.00380,0.031800
196804,0.090500,0.056600,-0.011700,0.00430,0.051500
196805,0.022800,0.064900,0.006600,0.00450,0.037300
196806,0.006900,-0.002500,0.008300,0.00430,-0.019200
196807,-0.027200,-0.013700,0.053900,0.00480,-0.008400
196808,0.013400,0.023200,0.010000,0.00420,0.018800
196809,0.040300,0.028100,0.003000,0.00430,-0.006700
196810,0.004200,-0.004800,0.028600,0.00440,-0.015200
196811,0.054300,0.023700,-0.009300,0.00420,0.017300
196812,-0.039400,0.034000,-0.000100,0.00430,0.001100
196901,-0.012500,-0.007600,0.016800,0.00530,-0.001500
196902,-0.058400,-0.039400,0.009000,0.00460,-0.024600
196903,0.026400,-0.002600,-0.005200,0.00460,0.039500
196904,0.014600,-0.008700,-0.000300,0.00530,0.011700
196905,-0.001000,-0.002200,0.007200,0.00480,0.016800
196906,-0.071800,-0.054100,-0.010900,0.00510,-0.022300
196907,-0.070000,-0.032200,0.011800,0.00530,0.016400
196908,0.046800,0.008900,-0.037700,0.00500,0.021400
196909,-0.029800,0.011400,-0.031900,0.00620,0.025300
