date,ps_level,ps_innov,liq
196801,-0.02152297,0.00202722,-0.02086175
196802,-0.03459975,-0.01972854,0.02197712
196803,-0.11694515,-0.08264259,0.01057792
196804,0.02245346,0.08809128,0.00915347
196805,-0.02061359,0.01098892,-0.01774824
196806,0.00822582,0.03166385,0.00042735
196807,-0.01049674,0.00778298,-0.03620883
196808,-0.02020095,-0.00936513,0.00601579
196809,-0.00870761,0.01378749,0.00953921
196810,0.00660594,0.02597528,-0.00088817
196811,-0.00022599,0.01498096,-0.00881651
196812,-0.02857531,-0.01152191,0.01184482
196901,-0.0337886,-0.00813598,0.0244478
196902,-0.02503088,0.0109685,0.05900419
196903,-0.02256787,0.0066252,-0.01704519
196904,-0.01274432,0.00879775,0.01892827
196905,0.01158513,0.04551378,0.01366945
196906,-0.04735727,-0.03936952,0.059309
196907,-0.12262313,-0.09256159,0.03570685
196908,-0.08789173,-0.04533371,-0.00522826
196909,0.01326168,0.0909957,0.0187526
196910,-0.06038184,-0.02491061,-0.05876586
196911,0.01656803,0.03963811,0.03169131
196912,-0.01985159,-0.02535264,0.03674571
197001,-0.11018592,-0.06906808,0.0235681
197002,-0.08139735,-0.00977016,-0.05868693
197003,-0.13845329,-0.06286627,0.0023728
197004,-0.09427202,-0.02851421,0.04070456
197005,-0.24058595,-0.19544468,-0.07564881
197006,-0.18762468,-0.13698813,-0.03427691
197007,-0.01379429,0.06653644,-0.00023298
197008,-0.06668903,0.00897839,0.00002363
197009,-0.06687487,-0.01418854,-0.01722116
197010,0.09627185,0.09705168,-0.01507792
197011,-0.05985656,-0.04720098,-0.00518356
197012,-0.07305852,-0.01710815,0.05062283
197101,0.01775796,0.04391458,-0.05148672
197102,-0.064488,-0.03762345,-0.0210008
197103,0.0317021,0.06159148,0.01722159
197104,-0.00998388,0.00654229,0.02730959
197105,-0.01940867,-0.02770784,0.00571536
197106,-0.04414571,-0.01334807,-0.03743005
197107,-0.10142136,-0.03322561,-0.00041068
197108,-0.04506878,-0.00671366,0.02398105
197109,0.01981,0.06112746,0.00553154
197110,-0.05637408,-0.01300372,0.03750459
197111,-0.09198778,-0.03807604,0.00751077
197112,0.00850079,0.04769766,0.00199699
197201,-0.09412363,-0.08155979,-0.03374327
197202,-0.03059879,0.01612639,0.00993984
197203,-0.01137304,0.02530207,0.03309115
197204,-0.00295654,0.01755833,0.01508518
197205,-0.06445365,-0.04386567,-0.00148126
197206,0.00610801,0.0027417,0.01372639
197207,-0.08959345,-0.06776759,0.01622972
197208,0.01435214,0.02150417,-0.03104982
197209,-0.01895372,0.0259046,-0.01488973
197210,-0.03986232,-0.02411673,-0.01545361
197211,-0.01686769,-0.03295676,-0.00776205
197212,-0.07355568,-0.03660608,0.00882111
197301,-0.05636308,-0.02760023,-0.01481098
197302,-0.04829286,0.02663892,-0.01086541
197303,-0.03071518,-0.01370601,-0.01271889
197304,-0.04066723,-0.01113607,0.02308621
197305,-0.11566841,-0.06513352,-0.00263267
197306,-0.19991624,-0.16428826,-0.03231649
197307,-0.09645608,-0.00884419,0.0024503
197308,-0.09587882,-0.02454659,0.01594605
197309,-0.12252505,-0.00270459,0.01702629
197310,-0.0534264,0.02498777,-0.04308556
197311,-0.30129471,-0.23836639,-0.0265017
197312,-0.13417844,-0.08197568,-0.01684214
197401,-0.16222605,-0.06680593,0.10501732
197402,-0.12002965,-0.05406207,0.03898203
197403,-0.00128674,0.1148352,0.04593273
197404,-0.04192205,0.00220313,0.02365498
197405,-0.10176169,-0.08477524,0.06008724
197406,-0.06937052,-0.06521746,-0.01077655
197407,-0.2311552,-0.13645609,-0.00473158
197408,-0.1018596,-0.06227357,-0.0286962
197409,-0.11031084,-0.06586937,0.02436165
197410,-0.08565812,0.00644177,-0.07885913
197411,-0.08357406,0.03442125,-0.01939789
197412,-0.10467737,-0.0417465,0.02044962
197501,-0.11363574,-0.07645153,0.10883999
197502,-0.07571976,0.01812169,0.03674259
197503,-0.13072553,0.00623149,0.05999037
197504,0.00011554,0.03558312,0.00210471
197505,-0.06664547,-0.01210685,-0.03234878
197506,0.02342978,0.02373394,-0.01805181
197507,-0.05962827,-0.02819902,-0.00983661
197508,-0.12755964,-0.12215161,-0.00842826
197509,-0.08967729,-0.05322922,-0.01923828
197510,-0.06496285,0.02543765,0.09125723
197511,0.00741821,0.02799526,0.03609542
197512,-0.02442816,-0.02146334,-0.00323456
197601,-0.06026915,-0.03545591,0.01755052
197602,-0.01850114,0.05062813,-0.04261414
197603,-0.01869402,0.00834891,-0.01655556
197604,-0.02836402,-0.04878687,-0.01947486
197605,-0.09014351,-0.08799559,-0.04169475
197606,-0.06495307,-0.02395872,-0.00622104
197607,-0.0913742,-0.05390076,-0.02753544
197608,-0.01515902,0.03138774,0.01783943
197609,-0.03775432,0.01739135,-0.01533322
197610,-0.08540869,-0.0449655,0.00439052
197611,-0.08199309,-0.02171245,-0.02341377
197612,-0.02603545,0.05541215,-0.01257718
197701,-0.06249116,-0.04514595,-0.03111569
197702,-0.00039971,0.03538227,-0.01063134
197703,-0.05633518,0.03156194,0.0110664
197704,-0.01072185,-0.00996349,-0.02957247
197705,-0.03332456,-0.01486819,0.01764153
197706,-0.00864341,0.01607481,0.02062001
197707,-0.04816932,-0.01434662,0.00105081
197708,-0.0441222,0.00462139,0.03122732
197709,-0.04748178,-0.02206055,0.01184949
197710,-0.03260695,-0.00235343,-0.0113563
197711,-0.01279571,0.0279253,0.00411296
197712,0.02084873,0.03478454,-0.00533581
197801,-0.04222258,-0.00710093,0.00576362
197802,-0.01929822,0.01239097,-0.00164297
197803,-0.0104943,0.00274672,0.01568233
197804,-0.00780383,0.01823995,0.03447846
197805,0.01785201,0.02097252,0.01246015
197806,0.01073519,0.0126231,0.00816507
197807,-0.04349239,-0.0368161,0.02739885
197808,0.02096417,0.03612548,-0.00124714
197809,-0.00570674,-0.01233423,-0.02601002
