r_me,r_ia,r_roe,r_eg,date
6.763,-3.0018,1.9603,-2.2396,196701
1.7323,-0.2696,3.5877,2.5681,196702
1.9541,-1.6969,1.8805,-1.4695,196703
-0.7423,-2.9555,1.0983,-2.2351,196704
2.9255,2.4553,0.5435,0.2749,196705
6.2469,-2.1705,0.3052,-0.3645,196706
3.041,2.3657,-0.6857,-0.2301,196707
0.2796,1.8169,-0.678,-0.0025,196708
1.7933,-0.4427,0.764,-0.673,196709
0.7602,-2.4696,3.3736,0.2062,196710
0.1469,-2.7435,0.7717,0.2452,196711
4.5407,0.3024,0.8598,1.4985,196712
5.356,4.7176,-2.8027,1.1116,196801
-1.5945,2.7512,-0.3786,3.3476,196802
-2.2577,-1.1342,1.6761,1.2297,196803
5.3629,-2.6056,3.7654,-1.8814,196804
6.6879,-2.3007,1.9595,-0.3443,196805
-0.437,2.4451,-0.4776,-0.0541,196806
-1.1598,2.7632,-2.0893,3.3438,196807
2.1609,0.369,-0.7607,1.5582,196808
1.4565,-0.5757,-3.4236,-1.1965,196809
-0.6765,2.6934,0.6051,2.5209,196810
2.807,-1.35,-0.4243,-0.9144,196811
3.1584,2.5858,-0.782,-0.799,196812
-0.3062,1.1292,-0.0716,0.479,196901
-3.8972,0.8505,1.0557,2.3751,196902
-0.3231,0.4294,1.9242,2.4972,196903
-0.1531,0.5674,2.026,-0.2394,196904
0.3904,1.4169,-0.0608,0.0381,196905
-4.7147,-0.6165,3.3983,2.7048,196906
-2.9356,2.0189,2.0938,3.491,196907
1.0624,-2.5157,0.4656,-2.1066,196908
0.7009,0.0668,2.0461,2.7928,196909
2.7812,-1.5403,-1.0961,-1.244,196910
-2.0291,0.1912,2.7448,2.3553,196911
-3.7717,-0.6982,3.4988,1.6499,196912
3.5654,3.543,-1.1444,3.2341,197001
-2.4781,1.7291,-2.148,0.1115,197002
-1.2512,3.3862,-0.9004,3.0285,197003
-4.6151,5.1911,0.3872,5.5545,197004
-3.2335,3.1902,0.2447,3.5236,197005
-1.8467,3.7465,2.6608,3.405,197006
-0.4652,2.5463,-0.8376,-1.3,197007
0.6459,-0.8656,-3.3301,-2.1076,197008
7.1669,-4.5667,-1.3578,-5.4412,197009
-3.2219,2.9508,5.4955,3.8558,197010
-3.7063,0.7995,0.6342,2.1592,197011
2.7299,0.2507,-1.0452,-0.2179,197012
6.8598,-0.2597,-4.2142,-3.1558,197101
1.4446,0.6299,2.4201,0.7628,197102
2.6241,-1.951,1.8917,-0.3244,197103
-0.2726,1.3011,-1.1778,-0.8574,197104
-1.4716,0.8367,1.424,0.8126,197105
-0.6887,-0.7045,4.3682,2.3835,197106
0.1955,2.3645,2.382,0.9078,197107
-2.2947,1.5681,-3.3154,-0.0504,197108
0.3436,0.0654,2.7789,1.2606,197109
-1.2297,-0.8146,1.818,2.5784,197110
-2.6873,-0.2266,1.6927,1.5333,197111
2.7177,-2.1399,-1.4548,-1.5401,197112
6.6986,0.1462,-6.5071,1.9867,197201
0.495,1.9687,1.0478,-0.3471,197202
-1.0272,1.8525,2.0909,1.5463,197203
0.2125,0.3011,0.7439,0.276,197204
-2.5166,-1.4977,2.0886,1.2647,197205
0.4544,-0.0441,3.5905,1.599,197206
-1.9601,-0.3812,2.1008,3.1851,197207
-3.5029,3.5752,-1.5004,0.5635,197208
-1.0618,-1.117,2.1073,0.4575,197209
-3.0777,-0.4563,-0.4274,0.7025,197210
-0.941,2.6858,-4.0003,0.7102,197211
-1.7258,-1.4355,2.9657,1.8283,197212
-2.379,0.3819,-0.4243,3.3706,197301
-4.4754,0.0895,-1.0202,1.4955,197302
-1.6619,0.5769,-1.9084,3.2265,197303
-2.918,3.1285,-0.4763,4.0348,197304
-5.7174,-0.4296,1.5506,1.6325,197305
-1.2292,0.4198,-0.2085,2.8279,197306
7.9566,-5.7598,1.1344,-4.1055,197307
-1.941,1.6852,1.4658,1.5222,197308
5.7177,2.1917,-1.298,-1.5064,197309
-1.1937,2.6122,0.4963,4.1587,197310
-7.4069,1.9803,-1.1485,2.114,197311
-4.5565,2.5209,3.6897,4.5884,197312
11.5318,2.0989,-4.7769,-0.5491,197401
-0.494,2.1141,-1.0424,1.4982,197402
1.8302,-0.0561,1.822,1.1755,197403
-0.4711,2.3695,2.2048,2.458,197404
-4.0804,-0.3267,2.2505,0.4052,197405
0.2568,1.5964,1.568,2.1955,197406
3.5313,4.4292,2.5752,5.7261,197407
2.2084,3.1493,2.971,4.8631,197408
2.0541,4.8696,-2.3265,3.3618,197409
-6.1757,-1.8661,8.4658,1.0908,197410
-0.8273,2.5432,1.7199,1.3494,197411
-3.8523,2.1589,0.4904,1.9893,197412
12.4555,-0.5407,-11.6681,-5.4123,197501
-1.3678,-1.6716,3.5776,0.6164,197502
3.3143,-0.6366,-1.7325,-1.7775,197503
-1.3525,-0.0429,3.3383,2.3087,197504
3.2779,-0.1207,-0.2727,-0.0167,197505
1.6136,0.3474,-1.5739,-0.6539,197506
2.9714,1.4388,-1.3879,1.7092,197507
-3.2151,-0.1716,0.7131,1.398,197508
0.6399,1.3498,1.67,3.322,197509
-4.654,2.9665,2.4021,2.5301,197510
-0.4698,1.5791,0.6746,1.5837,197511
0.2832,-0.0445,-2.255,0.4822,197512
6.7637,1.4911,-2.6484,0.8046,197601
6.9408,2.1537,-3.7702,0.8493,197602
-0.4251,1.6998,2.4445,1.6356,197603
-0.5912,-0.7455,-0.282,0.0681,197604
-1.2446,-0.9754,0.4639,0.3942,197605
0.04,1.342,-0.0402,0.914,197606
1.1583,0.9213,0.7522,1.6262,197607
-2.0534,-0.5976,0.002,0.6256,197608
-0.2218,-1.4154,1.1099,0.9664,197609
0.7091,-1.1258,0.298,-0.4786,197610
3.4747,-0.2676,-0.5128,0.0726,197611
3.3003,1.8145,-1.0926,1.0779,197612
6.0477,0.9952,-2.1493,1.6548,197701
1.0733,0.121,1.2509,0.4029,197702
1.4505,-0.1567,0.2845,-0.3464,197703
1.2282,1.2277,0.3708,0.7455,197704
